SampleDate_Local,SampleDepth_m,SampleID,CphlA_mgm3
24/06/2014,20,ROT20140624_20,0.546
24/06/2014,40,ROT20140624_40,0.621
24/06/2014,WC,ROT20140624_WC,0.591
30/07/2014,20,ROT20140730_20,0.313
30/07/2014,40,ROT20140730_40,0.308
30/07/2014,WC,ROT20140730_WC,0.312
2/09/2014,20,ROT20140902_20,0.476
2/09/2014,40,ROT20140902_40,0.314
2/09/2014,WC,ROT20140902_WC,0.398
19/09/2014,20,ROT20140919_20,0.762
19/09/2014,40,ROT20140919_40,0.207
19/09/2014,WC,ROT20140919_WC,0.468
14/10/2014,0,ROT20141014_0,0.251
14/10/2014,20,ROT20141014_20,0.25
14/10/2014,40,ROT20141014_40,0.225
14/10/2014,WC,ROT20141014_WC,0.212
19/11/2014,20,ROT20141119_20,0.176
19/11/2014,40,ROT20141119_40,0.295
19/11/2014,WC,ROT20141119_WC,0.203
16/12/2014,0,ROT20141216_0,0.198
16/12/2014,20,ROT20141216_20,0.245
16/12/2014,40,ROT20141216_40,0.119
16/12/2014,WC,ROT20141216_WC,0.193
28/01/2015,0,ROT20150128_0,0.108
28/01/2015,20,ROT20150128_20,0.157
28/01/2015,40,ROT20150128_40,0.291
28/01/2015,WC,ROT20150128_WC,0.178
24/02/2015,0,ROT20150224_0,0.154
24/02/2015,20,ROT20150224_20,0.242
24/02/2015,40,ROT20150224_40,0.023
24/02/2015,WC,ROT20150224_WC,0.146
19/03/2015,0,ROT20150319_0,0.282
19/03/2015,20,ROT20150319_20,0.227
19/03/2015,40,ROT20150319_40,0.318
19/03/2015,WC,ROT20150319_WC,0.187
7/05/2015,0,ROT20150507_0,0.271
7/05/2015,20,ROT20150507_20,0.609
7/05/2015,40,ROT20150507_40,0.215
7/05/2015,WC,ROT20150507_WC,0.352
1/07/2015,0,ROT20150701_0,0.398
1/07/2015,20,ROT20150701_20,0.423
1/07/2015,40,ROT20150701_40,0.447
1/07/2015,WC,ROT20150701_WC,0.368
24/07/2015,0,ROT20150724_0,0.394
24/07/2015,20,ROT20150724_20,0.346
24/07/2015,40,ROT20150724_40,0.395
24/07/2015,WC,ROT20150724_WC,0.439
27/08/2015,0,ROT20150827_0,0.181
27/08/2015,20,ROT20150827_20,0.271
27/08/2015,40,ROT20150827_40,0.209
27/08/2015,WC,ROT20150827_WC,0.287
24/09/2015,0,ROT20150924_0,0.079
24/09/2015,20,ROT20150924_20,0.103
24/09/2015,40,ROT20150924_40,0.311
24/09/2015,WC,ROT20150924_WC,0.171
22/10/2015,0,ROT20151022_0,0.139
22/10/2015,20,ROT20151022_20,0.351
22/10/2015,40,ROT20151022_40,0.289
22/10/2015,WC,ROT20151022_WC,0.272
15/12/2015,0,ROT20151215_0,0.143
15/12/2015,20,ROT20151215_20,0.454
15/12/2015,40,ROT20151215_40,0.093
15/12/2015,WC,ROT20151215_WC,0.146
23/02/2016,0,ROT20160223_0,0.085
23/02/2016,20,ROT20160223_20,0.113
23/02/2016,40,ROT20160223_40,0.478
23/02/2016,WC,ROT20160223_WC,0.211
24/03/2016,0,ROT20160324_0,0.22
24/03/2016,20,ROT20160324_20,0.349
24/03/2016,40,ROT20160324_40,0.206
24/03/2016,WC,ROT20160324_WC,0.197
13/04/2016,0,ROT20160413_0,0.217
13/04/2016,20,ROT20160413_20,0.499
13/04/2016,40,ROT20160413_40,0.462
13/04/2016,WC,ROT20160413_WC,0.28
2/05/2016,0,ROT20160502_0,0.356
2/05/2016,20,ROT20160502_20,0.308
2/05/2016,40,ROT20160502_40,0.269
2/05/2016,WC,ROT20160502_WC,0.377
27/05/2016,0,ROT20160527_0,0.657
27/05/2016,20,ROT20160527_20,0.981
27/05/2016,40,ROT20160527_40,0.756
27/05/2016,WC,ROT20160527_WC,0.916
21/06/2016,0,ROT20160621_0,0.34
21/06/2016,20,ROT20160621_20,0.37
21/06/2016,40,ROT20160621_40,0.35
21/06/2016,WC,ROT20160621_WC,0.345
4/10/2016,0,ROT20161004_0,0.289
4/10/2016,20,ROT20161004_20,0.324
4/10/2016,40,ROT20161004_40,0.387
4/10/2016,WC,ROT20161004_WC,0.287
24/10/2016,0,ROT20161024_0,0.179
24/10/2016,20,ROT20161024_20,0.201
24/10/2016,40,ROT20161024_40,0.253
24/10/2016,WC,ROT20161024_WC,0.165
14/11/2016,0,ROT20161114_0,0.096
14/11/2016,20,ROT20161114_20,0.216
14/11/2016,40,ROT20161114_40,0.173
14/11/2016,WC,ROT20161114_WC,0.235
14/12/2016,0,ROT20161214_0,0.096
14/12/2016,20,ROT20161214_20,0.244
14/12/2016,40,ROT20161214_40,0.3
14/12/2016,WC,ROT20161214_WC,0.192
20/01/2017,0,ROT20170120_0,0.089
20/01/2017,20,ROT20170120_20,0.217
20/01/2017,40,ROT20170120_40,0.25
20/01/2017,WC,ROT20170120_WC,0.222
3/03/2017,0,ROT20170303_0,0.216
3/03/2017,20,ROT20170303_20,0.444
3/03/2017,40,ROT20170303_40,0.508
3/03/2017,WC,ROT20170303_WC,0.434
31/03/2017,0,ROT20170331_0,0.281
31/03/2017,20,ROT20170331_20,0.258
31/03/2017,40,ROT20170331_40,0.245
31/03/2017,WC,ROT20170331_WC,0.28
7/04/2017,0,ROT20170407_0,0.23
7/04/2017,20,ROT20170407_20,0.393
7/04/2017,40,ROT20170407_40,0.367
7/04/2017,WC,ROT20170407_WC,0.349
28/04/2017,0,ROT20170428_0,0.355
28/04/2017,20,ROT20170428_20,0.382
28/04/2017,40,ROT20170428_40,0.346
28/04/2017,WC,ROT20170428_WC,0.276
23/05/2017,0,ROT20170523_0,0.591
23/05/2017,20,ROT20170523_20,0.59
23/05/2017,40,ROT20170523_40,0.272
23/05/2017,WC,ROT20170523_WC,0.468
26/06/2017,0,ROT20170626_0,0.741
26/06/2017,20,ROT20170626_20,0.801
26/06/2017,40,ROT20170626_40,0.375
26/06/2017,WC,ROT20170626_WC,0.671
2/08/2017,0,ROT20170802_0,0.424
2/08/2017,20,ROT20170802_20,0.433
14/09/2017,0,ROT20170914_0,0.414
14/09/2017,20,ROT20170914_20,0.601
3/11/2017,0,ROT20171103_0,0.282
3/11/2017,20,ROT20171103_20,0.315
23/11/2017,0,ROT20171123_0,1.445
23/11/2017,20,ROT20171123_20,0.338
14/12/2017,0,ROT20171214_0,0.166
14/12/2017,20,ROT20171214_20,0.25
25/01/2018,0,ROT20180125_0,0.357
25/01/2018,20,ROT20180125_20,0.242
21/02/2018,0,ROT20180221_0,0.25
21/02/2018,20,ROT20180221_20,0.354
28/03/2018,0,ROT20180328_0,0.293
28/03/2018,20,ROT20180328_20,0.53
11/05/2018,0,ROT20180511_0,0.499
11/05/2018,20,ROT20180511_20,0.62
20/06/2018,0,ROT20180620_0,0.516
20/06/2018,20,ROT20180620_20,0.555
19/07/2018,0,ROT20180719_0,0.543
19/07/2018,20,ROT20180719_20,0.73
27/07/2018,0,ROT20180727_0,0.433
27/07/2018,20,ROT20180727_20,0.452
31/08/2018,0,ROT20180831_0,0.615
31/08/2018,20,ROT20180831_20,0.581
21/09/2018,0,ROT20180921_0,0.541
21/09/2018,20,ROT20180921_20,0.739
24/10/2018,0,ROT20181024_0,0.241
24/10/2018,20,ROT20181024_20,0.318
30/11/2018,0,ROT20181130_0,0.18
30/11/2018,20,ROT20181130_20,0.194
11/12/2018,0,ROT20181211_0,0.139
11/12/2018,20,ROT20181211_20,0.317
25/01/2019,0,ROT20190125_0,0.147
25/01/2019,20,ROT20190125_20,0.223
21/02/2019,0,ROT20190221_0,0.164
21/02/2019,20,ROT20190221_20,0.215
6/03/2019,0,ROT20190306_0,0.604
6/03/2019,20,ROT20190306_20,0.681
7/05/2019,0,ROT20190507_0,0.25
7/05/2019,20,ROT20190507_20,0.315
27/05/2019,0,ROT20190527_0,0.218
27/05/2019,20,ROT20190527_20,0.21
21/06/2019,0,ROT20190621_0,0.314
21/06/2019,20,ROT20190621_20,0.355
